	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP012103	3451	2138	2856	2028	6244	7952	6412	6675	4736	7899	5566	7877
AGAP002619	143	108	96	70	346	535	371	419	255	337	250	267
AGAP006810	1557	818	1046	1179	429	561	387	396	469	756	613	776
AGAP010085	297	174	250	207	193	257	193	145	148	163	147	169
AGAP009791	3284	1449	1900	2662	5491	5896	6536	6062	1578	4640	3930	2656
AGAP000651	8636	6538	8162	4290	7995	10510	12980	7672	9555	10913	7238	11400
AGAP009633	1877	1132	1154	1009	1030	796	535	762	843	1061	808	817
AGAP002070	59	25	11	9	14	30	33	21	15	17	0	9
AGAP000252	7931	4975	5279	4750	4976	5437	4686	6253	6088	6191	6052	7009
AGAP007259	9960	6105	6838	5587	3757	4311	3045	3176	4709	4925	4721	5439
AGAP000372	237	100	107	78	388	541	544	375	207	342	256	303
AGAP029671	97	40	30	13	57	89	129	89	9	36	27	37
AGAP006257	659	625	429	378	297	559	497	536	128	162	222	200
AGAP029796	331	188	184	171	148	201	178	192	90	161	174	164
AGAP028003	45	7	30	5	5	0	8	11	8	19	2	5
AGAP005070	431	231	287	304	222	435	299	332	476	336	464	534
AGAP000072	86	33	48	34	2	36	39	42	15	11	11	18
AGAP000663	7309	4468	4914	4610	5211	6314	5816	5266	4127	5028	5029	5502
AGAP006900	2041	1597	1802	1894	1313	1102	1354	1127	542	855	558	550
AGAP007419	1585	877	1049	905	688	789	548	623	546	702	704	733
AGAP000190	237	112	157	106	276	405	403	338	283	504	351	446
AGAP011464	25132	22333	16595	15766	19394	19195	15007	20900	13279	16988	14902	17745
AGAP002850	77	42	27	22	20	20	22	11	2	5	6	16
AGAP007246	150	128	140	118	44	103	79	102	62	84	65	126
AGAP004015	31	10	1	6	26	28	3	33	2	31	18	4
AGAP011220	1496	451	1081	998	627	847	687	453	1303	1315	1337	2224
AGAP008222	222	150	151	91	318	385	373	383	250	308	242	285
AGAP001379	110	51	72	94	65	97	76	77	74	84	70	90
